0,1,2,3,4,5,6,7,8,9,10
rolls/buns,soda,,,,,,,,,
butter,newspapers,,,,,,,,,
frankfurter,sausage,,,,,,,,,
hygiene articles,rolls/buns,,,,,,,,,
tropical fruit,white wine,curd,grapes,,,,,,,
whole milk,bottled beer,,,,,,,,,
margarine,pastry,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
chicken,pip fruit,,,,,,,,,
fruit/vegetable juice,waffles,tropical fruit,domestic eggs,liquor (appetizer),dessert,,,,,
coffee,dessert,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
other vegetables,whole milk,,,,,,,,,
butter milk,fruit/vegetable juice,,,,,,,,,
citrus fruit,domestic eggs,flour,,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
cat food,candles,whole milk,,,,,,,,
yogurt,root vegetables,,,,,,,,,
herbs,rolls/buns,,,,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
whole milk,onions,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
soda,misc. beverages,,,,,,,,,
canned beer,frozen meals,pastry,,,,,,,,
cookware,other vegetables,,,,,,,,,
pet care,butter milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
canned beer,pastry,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pot plants,newspapers,brown bread,,,,,,,,
prosecco,chewing gum,,,,,,,,,
napkins,soda,,,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
yogurt,bottled water,,,,,,,,,
candy,other vegetables,,,,,,,,,
whole milk,whole milk,citrus fruit,light bulbs,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
chocolate,coffee,,,,,,,,,
sausage,brown bread,,,,,,,,,
finished products,rolls/buns,oil,frozen vegetables,,,,,,,
beverages,cake bar,cake bar,frozen meals,,,,,,,
other vegetables,coffee,,,,,,,,,
tropical fruit,butter,,,,,,,,,
onions,white wine,,,,,,,,,
whipped/sour cream,beverages,,,,,,,,,
pork,beverages,frozen fish,,,,,,,,
whole milk,bottled beer,,,,,,,,,
frozen fish,soda,vinegar,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
sausage,hygiene articles,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,coffee,whole milk,,,,,,,,
brown bread,shopping bags,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
butter milk,pickled vegetables,hygiene articles,,,,,,,,
sausage,salt,,,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
pip fruit,shopping bags,white wine,pet care,,,,,,,
hamburger meat,other vegetables,hygiene articles,popcorn,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
rolls/buns,male cosmetics,liquor (appetizer),,,,,,,,
napkins,canned vegetables,,,,,,,,,
whole milk,butter,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
specialty bar,soda,,,,,,,,,
semi-finished bread,flour,,,,,,,,,
nut snack,whole milk,,,,,,,,,
soda,soda,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
hamburger meat,soda,hard cheese,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
frozen dessert,canned beer,,,,,,,,,
ice cream,herbs,,,,,,,,,
pork,frozen meals,,,,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
other vegetables,whole milk,,,,,,,,,
chicken,mayonnaise,soda,sparkling wine,,,,,,,
soda,butter milk,whipped/sour cream,,,,,,,,
red/blush wine,whole milk,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
bottled beer,rolls/buns,soda,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
pip fruit,soda,,,,,,,,,
rolls/buns,pork,,,,,,,,,
pork,napkins,,,,,,,,,
margarine,brown bread,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
frankfurter,root vegetables,yogurt,whole milk,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
berries,yogurt,,,,,,,,,
flower soil/fertilizer,rolls/buns,yogurt,ice cream,whipped/sour cream,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
bottled beer,whole milk,,,,,,,,,
coffee,root vegetables,bottled beer,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
bottled water,pip fruit,frozen vegetables,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
yogurt,UHT-milk,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
sausage,curd,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
soda,zwieback,,,,,,,,,
newspapers,hamburger meat,whole milk,specialty cheese,,,,,,,
rolls/buns,dental care,,,,,,,,,
beef,dog food,yogurt,,,,,,,,
other vegetables,bottled water,cereals,,,,,,,,
rolls/buns,margarine,,,,,,,,,
oil,flour,,,,,,,,,
root vegetables,frozen potato products,onions,UHT-milk,,,,,,,
onions,frozen vegetables,,,,,,,,,
fruit/vegetable juice,bottled beer,,,,,,,,,
meat,other vegetables,,,,,,,,,
sausage,beef,whipped/sour cream,,,,,,,,
grapes,canned fish,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
packaged fruit/vegetables,specialty bar,,,,,,,,,
citrus fruit,hamburger meat,other vegetables,specialty chocolate,,,,,,,
whole milk,frozen fish,specialty chocolate,,,,,,,,
whole milk,baking powder,newspapers,,,,,,,,
pork,bottled water,,,,,,,,,
onions,root vegetables,,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
berries,condensed milk,whipped/sour cream,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
white bread,make up remover,,,,,,,,,
pot plants,domestic eggs,,,,,,,,,
chicken,flour,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
meat,other vegetables,chewing gum,,,,,,,,
curd,citrus fruit,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
ice cream,whole milk,,,,,,,,,
sparkling wine,softener,,,,,,,,,
tropical fruit,oil,,,,,,,,,
sausage,soda,,,,,,,,,
butter,specialty bar,,,,,,,,,
rolls/buns,hard cheese,rolls/buns,flour,,,,,,,
pork,herbs,,,,,,,,,
finished products,whole milk,,,,,,,,,
whole milk,newspapers,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
whole milk,soda,,,,,,,,,
napkins,specialty chocolate,other vegetables,,,,,,,,
whipped/sour cream,meat spreads,,,,,,,,,
beverages,other vegetables,curd,,,,,,,,
whole milk,newspapers,whole milk,rolls/buns,,,,,,,
tropical fruit,canned beer,,,,,,,,,
sugar,coffee,,,,,,,,,
butter milk,waffles,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
cream cheese ,candles,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
frankfurter,prosecco,,,,,,,,,
pastry,canned beer,,,,,,,,,
sausage,bottled beer,root vegetables,,,,,,,,
root vegetables,berries,coffee,bottled beer,rice,,,,,,
rolls/buns,dessert,,,,,,,,,
candy,cream cheese ,brown bread,soda,,,,,,,
butter,whole milk,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
butter,soda,,,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
domestic eggs,sliced cheese,,,,,,,,,
yogurt,soda,,,,,,,,,
canned beer,finished products,beverages,dishes,,,,,,,
pork,beef,yogurt,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
other vegetables,other vegetables,canned fish,chewing gum,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
long life bakery product,semi-finished bread,,,,,,,,,
frozen fish,domestic eggs,,,,,,,,,
cocoa drinks,red/blush wine,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
waffles,semi-finished bread,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
tropical fruit,meat,pip fruit,salt,pot plants,,,,,,
hamburger meat,soft cheese,,,,,,,,,
canned fish,cat food,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
pastry,mustard,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
frankfurter,bottled beer,whipped/sour cream,margarine,,,,,,,
canned beer,citrus fruit,,,,,,,,,
yogurt,bottled water,berries,,,,,,,,
misc. beverages,zwieback,,,,,,,,,
seasonal products,soups,,,,,,,,,
sausage,UHT-milk,female sanitary products,rolls/buns,,,,,,,
whole milk,cream cheese ,,,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
other vegetables,skin care,domestic eggs,,,,,,,,
grapes,bottled beer,,,,,,,,,
pork,pastry,,,,,,,,,
berries,dessert,dessert,,,,,,,,
coffee,root vegetables,,,,,,,,,
bottled beer,butter milk,,,,,,,,,
curd,soda,,,,,,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
other vegetables,waffles,,,,,,,,,
newspapers,rolls/buns,newspapers,,,,,,,,
coffee,pot plants,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
pastry,cereals,,,,,,,,,
packaged fruit/vegetables,popcorn,,,,,,,,,
zwieback,salty snack,,,,,,,,,
frankfurter,hard cheese,,,,,,,,,
soda,citrus fruit,,,,,,,,,
condensed milk,yogurt,butter,,,,,,,,
frankfurter,pickled vegetables,,,,,,,,,
bottled beer,Instant food products,,,,,,,,,
whole milk,soda,,,,,,,,,
canned beer,soda,,,,,,,,,
tropical fruit,spread cheese,onions,mayonnaise,,,,,,,
curd,yogurt,detergent,,,,,,,,
red/blush wine,domestic eggs,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
pork,yogurt,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
root vegetables,pastry,,,,,,,,,
rolls/buns,tropical fruit,seasonal products,fruit/vegetable juice,,,,,,,
whole milk,pork,brown bread,other vegetables,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
finished products,yogurt,,,,,,,,,
other vegetables,root vegetables,bottled water,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
margarine,frozen fruits,,,,,,,,,
brown bread,processed cheese,,,,,,,,,
beverages,tropical fruit,,,,,,,,,
yogurt,whole milk,,,,,,,,,
pork,cream cheese ,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,sausage,yogurt,whole milk,butter,,,,,,
yogurt,whole milk,,,,,,,,,
chocolate,beef,,,,,,,,,
rolls/buns,candy,,,,,,,,,
whole milk,whole milk,pastry,pickled vegetables,,,,,,,
white bread,frozen vegetables,,,,,,,,,
ham,whole milk,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
skin care,oil,,,,,,,,,
beef,other vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
tropical fruit,soda,rolls/buns,,,,,,,,
hygiene articles,vinegar,,,,,,,,,
pork,margarine,,,,,,,,,
hamburger meat,citrus fruit,whole milk,specialty bar,,,,,,,
pork,pastry,,,,,,,,,
bottled beer,frozen meals,,,,,,,,,
baking powder,liqueur,,,,,,,,,
beef,spices,,,,,,,,,
root vegetables,oil,soda,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
long life bakery product,other vegetables,,,,,,,,,
curd,bottled beer,hamburger meat,sweet spreads,,,,,,,
curd,specialty bar,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
newspapers,white bread,rolls/buns,beverages,,,,,,,
chicken,rolls/buns,,,,,,,,,
bottled water,red/blush wine,onions,brown bread,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
bottled water,herbs,,,,,,,,,
dessert,zwieback,,,,,,,,,
bottled beer,rolls/buns,herbs,UHT-milk,,,,,,,
other vegetables,specialty bar,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
whipped/sour cream,baking powder,,,,,,,,,
dessert,ham,,,,,,,,,
specialty cheese,misc. beverages,,,,,,,,,
dish cleaner,whole milk,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
sausage,frozen meals,soda,,,,,,,,
whipped/sour cream,ice cream,,,,,,,,,
bottled water,cream cheese ,bottled beer,,,,,,,,
chicken,whipped/sour cream,canned vegetables,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
butter,root vegetables,,,,,,,,,
pip fruit,beverages,pastry,,,,,,,,
canned fish,rolls/buns,chocolate,artif. sweetener,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
citrus fruit,citrus fruit,specialty chocolate,cream cheese ,,,,,,,
root vegetables,pip fruit,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,root vegetables,white wine,whipped/sour cream,abrasive cleaner,soda,,,,,
frankfurter,Instant food products,,,,,,,,,
misc. beverages,oil,,,,,,,,,
beverages,newspapers,,,,,,,,,
brown bread,tropical fruit,,,,,,,,,
napkins,mayonnaise,,,,,,,,,
beef,hamburger meat,,,,,,,,,
frozen potato products,chewing gum,,,,,,,,,
soda,cleaner,cling film/bags,,,,,,,,
pork,butter,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
pip fruit,frozen vegetables,bottled water,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
butter,sugar,,,,,,,,,
tropical fruit,frozen dessert,napkins,,,,,,,,
white bread,butter,,,,,,,,,
grapes,sparkling wine,canned beer,pastry,,,,,,,
organic sausage,whipped/sour cream,,,,,,,,,
yogurt,newspapers,,,,,,,,,
pork,pip fruit,,,,,,,,,
tropical fruit,cling film/bags,,,,,,,,,
beef,hamburger meat,newspapers,rum,meat spreads,whipped/sour cream,,,,,
sliced cheese,cling film/bags,,,,,,,,,
sugar,red/blush wine,,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
pot plants,shopping bags,,,,,,,,,
pip fruit,berries,,,,,,,,,
sausage,sausage,pip fruit,sliced cheese,root vegetables,butter milk,,,,,
bottled water,tropical fruit,,,,,,,,,
shopping bags,detergent,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
semi-finished bread,white bread,,,,,,,,,
bottled beer,beverages,hard cheese,fruit/vegetable juice,,,,,,,
bottled water,pastry,,,,,,,,,
dessert,frozen meals,,,,,,,,,
berries,other vegetables,,,,,,,,,
whole milk,frankfurter,domestic eggs,flour,,,,,,,
tropical fruit,pip fruit,root vegetables,pet care,,,,,,,
citrus fruit,napkins,,,,,,,,,
rolls/buns,long life bakery product,root vegetables,,,,,,,,
whole milk,other vegetables,yogurt,newspapers,bottled water,pet care,,,,,
coffee,bottled water,,,,,,,,,
whole milk,white bread,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
hamburger meat,domestic eggs,,,,,,,,,
curd,pastry,,,,,,,,,
canned beer,sliced cheese,,,,,,,,,
tropical fruit,cake bar,chocolate,,,,,,,,
frozen fruits,citrus fruit,,,,,,,,,
citrus fruit,cling film/bags,hard cheese,,,,,,,,
bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
citrus fruit,pork,canned fish,oil,,,,,,,
pastry,root vegetables,,,,,,,,,
frozen fish,whole milk,tropical fruit,butter,coffee,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
beef,newspapers,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
pork,whole milk,,,,,,,,,
pork,root vegetables,hamburger meat,frankfurter,coffee,curd,cake bar,soda,,,
pastry,pasta,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
canned beer,butter,margarine,domestic eggs,,,,,,,
chicken,domestic eggs,,,,,,,,,
pork,butter,,,,,,,,,
tropical fruit,curd,whole milk,other vegetables,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
pork,flour,,,,,,,,,
soda,curd,,,,,,,,,
pip fruit,soda,brown bread,,,,,,,,
onions,butter,soups,,,,,,,,
other vegetables,margarine,bottled water,,,,,,,,
beef,napkins,,,,,,,,,
sausage,whole milk,,,,,,,,,
honey,yogurt,spices,chocolate,,,,,,,
root vegetables,whole milk,whole milk,newspapers,bottled water,,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
dessert,bottled water,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
meat,bottled water,soda,,,,,,,,
pip fruit,pasta,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
other vegetables,napkins,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
salt,fruit/vegetable juice,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
flour,sugar,,,,,,,,,
pastry,misc. beverages,,,,,,,,,
grapes,butter,newspapers,pip fruit,,,,,,,
pip fruit,root vegetables,,,,,,,,,
pastry,detergent,rice,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
frozen vegetables,beef,,,,,,,,,
specialty bar,pastry,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
beverages,sausage,whole milk,citrus fruit,whole milk,,,,,,
rolls/buns,salty snack,,,,,,,,,
sausage,detergent,,,,,,,,,
rolls/buns,bottled water,whole milk,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
curd,brown bread,whole milk,chewing gum,,,,,,,
ham,newspapers,,,,,,,,,
salt,citrus fruit,,,,,,,,,
canned beer,margarine,,,,,,,,,
whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns,,,
frozen vegetables,beef,UHT-milk,abrasive cleaner,,,,,,,
whole milk,brown bread,domestic eggs,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
oil,fruit/vegetable juice,domestic eggs,,,,,,,,
pip fruit,whole milk,tropical fruit,,,,,,,,
ice cream,detergent,rolls/buns,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
tropical fruit,dish cleaner,bottled water,,,,,,,,
onions,pip fruit,whipped/sour cream,,,,,,,,
dessert,pastry,,,,,,,,,
canned beer,potato products,,,,,,,,,
soda,grapes,,,,,,,,,
grapes,soda,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
other vegetables,curd,,,,,,,,,
newspapers,whole milk,,,,,,,,,
soda,tropical fruit,,,,,,,,,
pip fruit,artif. sweetener,hygiene articles,,,,,,,,
whole milk,coffee,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
packaged fruit/vegetables,herbs,,,,,,,,,
bottled water,whole milk,whole milk,frozen vegetables,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,cream cheese ,soda,,,,,,,,
pip fruit,pastry,rolls/buns,chocolate,soda,,,,,,
ice cream,flower (seeds),,,,,,,,,
candles,soda,,,,,,,,,
whole milk,brown bread,,,,,,,,,
frankfurter,berries,,,,,,,,,
chicken,beef,,,,,,,,,
tropical fruit,grapes,chocolate marshmallow,yogurt,red/blush wine,brown bread,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whole milk,bottled water,,,,,,,,,
soda,margarine,soda,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
sausage,sausage,chicken,chewing gum,newspapers,bottled water,pastry,yogurt,,,
other vegetables,bottled beer,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
dishes,whole milk,oil,onions,,,,,,,
ham,instant coffee,margarine,beef,long life bakery product,whole milk,house keeping products,semi-finished bread,,,
sausage,whole milk,bottled water,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,other vegetables,whipped/sour cream,,,,,,,,
other vegetables,cream cheese ,yogurt,yogurt,whole milk,waffles,curd,fruit/vegetable juice,,,
ice cream,beef,,,,,,,,,
pip fruit,onions,,,,,,,,,
shopping bags,yogurt,,,,,,,,,
hamburger meat,whole milk,whipped/sour cream,,,,,,,,
whole milk,yogurt,softener,,,,,,,,
whole milk,soda,newspapers,,,,,,,,
yogurt,canned vegetables,seasonal products,,,,,,,,
yogurt,chicken,soda,,,,,,,,
soda,waffles,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
bottled water,dental care,,,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
rolls/buns,bottled beer,,,,,,,,,
coffee,beef,dishes,brown bread,pastry,,,,,,
salty snack,white wine,,,,,,,,,
fish,chicken,chicken,UHT-milk,other vegetables,cream cheese ,hard cheese,,,,
pastry,frozen fish,,,,,,,,,
red/blush wine,shopping bags,,,,,,,,,
citrus fruit,domestic eggs,bottled water,,,,,,,,
butter milk,pip fruit,,,,,,,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
misc. beverages,citrus fruit,napkins,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
meat,yogurt,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
sausage,whole milk,tropical fruit,light bulbs,yogurt,rolls/buns,liquor (appetizer),,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
other vegetables,pasta,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
onions,butter,,,,,,,,,
whole milk,bottled water,chicken,citrus fruit,canned vegetables,,,,,,
whole milk,rolls/buns,ice cream,brown bread,,,,,,,
other vegetables,meat,salty snack,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
meat,whole milk,,,,,,,,,
condensed milk,chocolate,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
yogurt,pip fruit,yogurt,,,,,,,,
newspapers,pastry,,,,,,,,,
berries,grapes,,,,,,,,,
other vegetables,soda,,,,,,,,,
soda,flour,brown bread,,,,,,,,
other vegetables,butter milk,,,,,,,,,
frozen potato products,female sanitary products,whole milk,other vegetables,fruit/vegetable juice,,,,,,
yogurt,condensed milk,,,,,,,,,
salty snack,other vegetables,yogurt,other vegetables,,,,,,,
onions,cat food,,,,,,,,,
whole milk,newspapers,,,,,,,,,
soda,root vegetables,,,,,,,,,
organic sausage,grapes,pastry,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
softener,salty snack,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
cream cheese ,brown bread,,,,,,,,,
white wine,newspapers,dog food,,,,,,,,
tropical fruit,bottled water,kitchen towels,processed cheese,,,,,,,
ham,root vegetables,rolls/buns,processed cheese,whole milk,pastry,soups,,,,
pip fruit,flour,,,,,,,,,
pip fruit,root vegetables,frozen meals,hamburger meat,sugar,soda,spread cheese,,,,
spread cheese,specialty chocolate,,,,,,,,,
beef,whole milk,detergent,,,,,,,,
ham,frozen meals,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
frankfurter,whipped/sour cream,cat food,,,,,,,,
citrus fruit,canned beer,rolls/buns,whole milk,,,,,,,
chewing gum,coffee,napkins,brown bread,,,,,,,
canned beer,rolls/buns,,,,,,,,,
pip fruit,whipped/sour cream,rolls/buns,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
canned beer,bottled beer,chocolate,,,,,,,,
ham,berries,,,,,,,,,
pasta,flower (seeds),,,,,,,,,
rolls/buns,canned beer,bottled beer,ham,hamburger meat,pickled vegetables,salty snack,domestic eggs,soda,,
tropical fruit,snack products,,,,,,,,,
pork,citrus fruit,UHT-milk,dessert,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
bottled beer,white bread,,,,,,,,,
turkey,root vegetables,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
soap,yogurt,,,,,,,,,
curd,waffles,,,,,,,,,
pip fruit,canned vegetables,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
soda,dog food,,,,,,,,,
frankfurter,pastry,hygiene articles,,,,,,,,
butter,pastry,,,,,,,,,
other vegetables,coffee,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
ice cream,citrus fruit,,,,,,,,,
root vegetables,white wine,liquor (appetizer),,,,,,,,
citrus fruit,yogurt,,,,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
frozen fish,ketchup,,,,,,,,,
pork,other vegetables,,,,,,,,,
other vegetables,rolls/buns,domestic eggs,,,,,,,,
yogurt,rolls/buns,domestic eggs,fruit/vegetable juice,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pork,shopping bags,,,,,,,,,
pork,tropical fruit,,,,,,,,,
sausage,white wine,,,,,,,,,
yogurt,pasta,,,,,,,,,
frozen vegetables,flower (seeds),,,,,,,,,
herbs,specialty chocolate,red/blush wine,salad dressing,,,,,,,
sausage,dessert,,,,,,,,,
chicken,onions,,,,,,,,,
chicken,soda,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
citrus fruit,beef,rolls/buns,whole milk,,,,,,,
bottled beer,hamburger meat,,,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
tropical fruit,butter,,,,,,,,,
roll products ,specialty chocolate,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
canned beer,bottled water,,,,,,,,,
chicken,tropical fruit,salt,,,,,,,,
yogurt,other vegetables,,,,,,,,,
grapes,whipped/sour cream,,,,,,,,,
specialty bar,shopping bags,pasta,,,,,,,,
cat food,coffee,,,,,,,,,
newspapers,zwieback,,,,,,,,,
frankfurter,frozen potato products,newspapers,softener,abrasive cleaner,,,,,,
whole milk,butter,newspapers,chewing gum,,,,,,,
long life bakery product,sweet spreads,,,,,,,,,
frankfurter,cream cheese ,yogurt,baking powder,,,,,,,
citrus fruit,frankfurter,tropical fruit,napkins,,,,,,,
other vegetables,roll products ,,,,,,,,,
bottled water,frozen dessert,root vegetables,,,,,,,,
sausage,yogurt,,,,,,,,,
packaged fruit/vegetables,yogurt,bottled beer,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
salt,cake bar,,,,,,,,,
frankfurter,whipped/sour cream,bottled water,,,,,,,,
sugar,curd,,,,,,,,,
berries,semi-finished bread,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
bottled beer,fruit/vegetable juice,whole milk,bottled beer,,,,,,,
white bread,canned fish,,,,,,,,,
chocolate,beverages,,,,,,,,,
candy,newspapers,female sanitary products,,,,,,,,
whole milk,soda,mustard,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
beef,curd,,,,,,,,,
shopping bags,yogurt,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
newspapers,chicken,root vegetables,curd,,,,,,,
white wine,curd,,,,,,,,,
citrus fruit,rolls/buns,salt,,,,,,,,
rolls/buns,white bread,,,,,,,,,
